Date,Open,High,Low,Close,Adj Close,Volume
Dec-80,0.136074769,0.136461154,0.135903077,0.135903077,0.106075231,103450092.3
Jan-81,0.1411551,0.1414341,0.1406808,0.1406808,0.1098044,29366400
Feb-81,0.118215474,0.118626684,0.117892368,0.117892368,0.092017474,16927326.32
Mar-81,0.111328045,0.111683136,0.110871455,0.110871455,0.086537591,31850763.64
Apr-81,0.12181119,0.12218319,0.121545476,0.121545476,0.094869,25568000
May-81,0.1296875,0.13030135,0.1294364,0.1294364,0.10102795,29520960
Jun-81,0.137504909,0.137834727,0.137073727,0.137073727,0.106989136,43207563.64
Jul-81,0.109095955,0.109527182,0.108816909,0.108816909,0.084933864,30337745.45
Aug-81,0.100340048,0.100552667,0.09983519,0.09983519,0.077923619,26124800
Sep-81,0.081340333,0.081579476,0.080941762,0.080941762,0.063176905,35413333.33
Oct-81,0.083045909,0.083578545,0.082893727,0.082893727,0.064700545,41098909.09
Nov-81,0.083482,0.0838168,0.0832309,0.0832309,0.06496355,29333920
Dec-81,0.090274727,0.090705955,0.090021091,0.090021091,0.070263545,47141818.18
Dec-81,0.090274727,0.090705955,0.090021091,0.090021091,0.070263545,47141818.18
Jan-82,0.0890068,0.0893695,0.08861615,0.08861615,0.0691668,43210720
Feb-82,0.084733158,0.085056211,0.084439474,0.084439474,0.065907,32021389.47
Mar-82,0.074364348,0.074655478,0.074073217,0.074073217,0.05781587,52159860.87
Apr-82,0.073023,0.073341857,0.072730667,0.072730667,0.056767857,83314133.33
May-82,0.06665735,0.06693635,0.0663225,0.0663225,0.0517662,62194720
Jun-82,0.059405636,0.059760727,0.059101273,0.059101273,0.046129909,36529309.09
Jul-82,0.057504286,0.057902857,0.057318286,0.057318286,0.044738238,67533866.67
Aug-82,0.064859091,0.065290273,0.064706909,0.064706909,0.050505136,98000000
Sep-82,0.081419857,0.081818429,0.081180714,0.081180714,0.063363286,79217066.67
Oct-82,0.102359667,0.105681333,0.100818476,0.10382119,0.081034619,179976533.3
Nov-82,0.13347681,0.138339762,0.130713238,0.134752333,0.10517719,150109866.7
Dec-82,0.138494318,0.141690364,0.135577273,0.138392864,0.108018682,123908654.5
Jan-83,0.148012476,0.153645905,0.145275333,0.150164857,0.117207048,218049066.7
Feb-83,0.198954474,0.203418737,0.195107,0.199835526,0.155976,165962778.9
Mar-83,0.194439,0.197399087,0.190411478,0.193856739,0.151309522,115144765.2
Apr-83,0.20262275,0.2076731,0.19963725,0.2042689,0.15943635,166941600
May-83,0.242718952,0.247183238,0.238812714,0.24428681,0.190671333,99257600
Jun-83,0.250507273,0.254159864,0.244343545,0.248706318,0.194120818,127612800
Jul-83,0.1975447,0.20072555,0.1914062,0.1944197,0.1517489,154891520
Aug-83,0.148607522,0.152392391,0.145453348,0.149044261,0.116332304,133110539.1
Sep-83,0.136346762,0.140252905,0.131218095,0.134778952,0.105197952,378171733.3
Oct-83,0.09507881,0.098905286,0.091252095,0.094892762,0.074065762,239137066.7
Nov-83,0.092394905,0.094813,0.089897048,0.092235476,0.071991857,196293333.3
Dec-83,0.101429667,0.10400719,0.099941667,0.10228,0.079831857,126505600
Jan-84,0.122342667,0.125797048,0.119047714,0.12239581,0.095532667,207562666.7
Feb-84,0.11224895,0.1154576,0.10968195,0.11255585,0.0878523,155568000
Mar-84,0.117314409,0.119318227,0.1150315,0.116984636,0.091309091,89358690.91
Apr-84,0.11738285,0.1206194,0.1158762,0.11861055,0.09257815,160835360
May-84,0.139077636,0.141690455,0.135171455,0.138595682,0.108176909,241621672.7
